type,num,genos_id,allotype,construct
blank,0,blank,blank,blank
Y-WT,1,id_01,IgGI,WT
Y-WT,2,id_02,IgGI,WT
Y-WT,3,id_03,IgGI,WT
YA-WT ,1,id_04,IgGIA,WT
YA-WT ,2,id_05,IgGIA,WT
YA-WT ,3,id_06,IgGIA,WT
YF-WT,1,id_07,IgGIF,WT
YF-WT,2,id_08,IgGIF,WT
YF-WT,3,id_09,IgGIF,WT
YI-WT,1,id_10,IgGIILE,WT
YI-WT,2,id_11,IgGIILE,WT
YI-WT,3,id_12,IgGIILE,WT
Y-NO,1,id_13,IgGI,NO
Y-NO,2,id_14,IgGI,NO
Y-NO,3,id_15,IgGI,NO
YA-NO,1,id_16,IgGIA,NO
YA-NO,2,id_17,IgGIA,NO
YA-NO,3,id_18,IgGIA,NO
YF-NO,1,id_19,IgGIF,NO
YF-NO,2,id_20,IgGIF,NO
YF-NO,3,id_21,IgGIF,NO
YI-NO,1,id_22,IgGIILE,NO
YI-NO,2,id_23,IgGIILE,NO
YI-NO,3,id_24,IgGIILE,NO
stand,1,stand_01,stand,stand
stand,2,stand_02,stand,stand
stand,3,stand_03,stand,stand
