glycan,Y-NO,Y-WT,YA-NO,YA-WT,YF-NO,YF-WT,YI-NO,YI-WT
H3N3F1,16.777809455295,16.2726847068269,19.7335175818979,19.5363736204344,18.3872721552742,17.4933436440577,16.9960134340365,16.494568621117
H3N4F1,22.3222266450028,22.5651968003578,31.363756799136,29.5305362325997,28.6361439370968,27.5317170060516,22.5355240886497,20.6348233913139
H3N5F1,0.754455985181624,0.721088125009747,0.899309349282822,0.81407751484803,1.1318277042797,1.17864740736423,0.943240597652112,0.891317566614095
H4N2,0.724917409376728,0.699539181792836,1.09266179237528,1.21383542800582,0.717924377278694,0.736126686596339,1.61634874578865,1.70464574826503
H4N3F1,9.87285420052049,9.78140275271842,8.87373600006064,9.75889970675664,7.55219856684644,7.74243734346429,9.93058319036416,10.7582575485455
H4N4F1,25.1150034584139,25.852103630824,8.23413078763513,7.63727768204432,20.1790285347087,20.4525030856285,9.4156513664294,9.38908996707584
H4N4F1S1,0.700439394007034,0.559699342109436,0.346550824623129,0.299088314291832,0.987724317669278,0.894440125668636,0.601218033915696,0.41643462273436
H4N4F2,0.318223891381454,0.319163049907178,0,0,0.269957781157897,0.273638040116218,0,0
H4N5F1,0.718055104479994,0.770207049188946,0.202544986001385,0.200852158075753,0.480967822904688,0.552288906547222,0.298863134046488,0.289251461186532
H5N2,5.10281760508472,4.87337774415707,9.27284626418819,9.77592169387722,5.89946045655846,5.91756221258732,13.1194145282588,12.8686600243556
H5N3F1,4.18574694391772,3.96192329143921,11.5203607774625,12.295609486326,4.82346957306585,5.38743318441554,13.4222011235826,14.1339525233955
H5N4F1,8.63456805064168,8.73374583724264,1.84780938653717,1.77489495987666,5.77585348133873,5.75633986490777,2.71931727079803,2.914010514353
H5N4F1S1,0.304976823358911,0.288474294814064,0,0,0.200619824912975,0.195075404382321,0.0582319709391344,0.042570830622711
H5N4F1S2,0.7680672332814,0.538380950599101,0,0,0.561680112550236,0.593904746014554,0,0
H5N4F2,0.186988994660038,0.19213376201504,0,0,0.144293295570112,0.159990095196411,0,0
H5N5F1,0.445091470250627,0.479955196640759,0,0,0.420023871005974,0.427105424633482,0,0
H6N2,0.767573190649157,1.04761127876095,1.9424122860072,2.80474030647727,0.912883149690769,1.32185479926643,2.19076698204547,3.08302426224228
H6N3F1,1.25266289841967,1.3231822662884,3.23261659545168,3.25238127990684,1.59201792850842,1.91365834858107,3.82537302692236,4.1829458167036
H6N3F1S1,1.04752124607699,1.02013073930747,1.43774656934099,1.10551161647952,1.32665310958204,1.47193367452034,2.32725250657089,2.19644710147524
