EXP02,,,,,,,,,,EXP03,,,,,,,,
glycan,Y-NO,Y-WT,YA-NO,YA-WT,YF-NO,YF-WT,YI-NO,YI-WT,,glycan,Y-NO,Y-WT,YA-NO,YA-WT,YF-NO,YF-WT,YI-NO,YI-WT
Agalactosylation,33.18915506,33.28394807,44.87710581,42.88263525,42.90230625,42.08845525,40.26984068,35.99231951,,Agalactosylation,39.26842075,39.01874317,52.17704911,50.12518271,47.599173,45.72021709,40.12265202,37.66247284
Galactosylation,41.79743916,42.24631153,18.9043108,18.23930232,33.34989089,32.82407646,22.76908673,21.66345145,,Galactosylation,35.81729884,36.83967231,13.37347421,12.70743981,28.26274276,28.95599505,16.11769663,16.61710324
Sialylation,6.774884813,6.660351969,3.362695646,3.829049483,6.829232975,7.047879945,4.025614744,4.768318589,,Sialylation,4.078762631,3.52274411,1.765362636,1.387325858,3.905285248,3.938190033,3.303968142,2.938625404
Bisection,5.84563667,6.176743252,2.894997976,2.780224723,6.766551015,6.454694876,2.438587778,2.094966755,,Bisection,1.889324666,1.943879401,1.823667215,1.863527091,2.009415924,2.13549483,1.231314059,1.169388688
High Mannose,4.901462967,4.958737906,9.154660507,10.35649573,5.2269146,5.800672,13.78908052,16.22756678,,High Mannose,6.670746067,6.749958058,12.5064706,13.9955735,7.73307842,8.12230311,17.19302604,18.03927542
Antennary fucosylation,0.977696427,0.903533194,0,0,2.297526483,2.431344616,0,0,,Antennary fucosylation,0.184221246,0.189442569,0,0,0.142641422,0.158323501,0,0
Monoantennary,9.703924817,9.84184341,12.36123092,12.61930314,11.39374569,11.21597182,12.73218323,13.29780312,,Monoantennary,16.53143315,16.05032885,19.52366371,19.29505287,18.1747269,17.30966011,16.84820166,16.33915481
Hybrid,8.607026533,8.047587559,21.24463195,21.89526229,9.414517124,10.48653876,25.2966326,27.84133636,,Hybrid,6.389724935,6.217210594,16.01891857,16.45005379,7.652917481,8.681503751,19.40453027,20.31978618
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
delta,,,,,,,,,,delta /vs average,,,,,,,,
glycan,Y-NO,Y-WT,YA-NO,YA-WT,YF-NO,YF-WT,YI-NO,YI-WT,,Y-NO,Y-WT,YA-NO,YA-WT,YF-NO,YF-WT,YI-NO,YI-WT,
Agalactosylation,6.079265683,5.734795099,7.299943302,7.242547455,4.696866752,3.631761839,-0.147188664,1.67015333,,0.167802072,0.158632964,0.15043031,0.155740617,0.103796464,0.08271989,-0.003661751,0.045350839,
Galactosylation,-5.980140318,-5.406639219,-5.530836589,-5.531862506,-5.087148134,-3.868081413,-6.651390103,-5.046348216,,-0.154098061,-0.136728127,-0.342702362,-0.357508553,-0.16513328,-0.125221008,-0.342090013,-0.263650736,
Sialylation,-2.696122182,-3.137607859,-1.59733301,-2.441723626,-2.923947727,-3.109689912,-0.721646602,-1.829693185,,-0.496814033,-0.616238487,-0.622977713,-0.936176355,-0.544774841,-0.566115074,-0.196913416,-0.474816785,
Bisection,-3.956312004,-4.232863851,-1.071330761,-0.916697632,-4.757135091,-4.319200047,-1.207273719,-0.925578068,,-1.022968786,-1.042497363,-0.454082126,-0.394809055,-1.084127851,-1.005612261,-0.657932431,-0.56708167,
High Mannose,1.7692831,1.791220152,3.35181009,3.639077777,2.50616382,2.32163111,3.403945522,1.811708642,,0.305781393,0.305964073,0.309476922,0.298872161,0.386753884,0.33349641,0.219736222,0.105741208,
Antennary fucosylation,-0.793475181,-0.714090624,0,0,-2.154885061,-2.273021115,0,0,,-1.365802758,-1.306690685,#DIV/0!,#DIV/0!,-1.766177694,-1.755453604,#DIV/0!,#DIV/0!,
Monoantennary,6.827508333,6.208485442,7.162432791,6.675749735,6.78098121,6.093688295,4.116018424,3.041351691,,0.520481431,0.479564664,0.449268086,0.418354031,0.458662935,0.427243001,0.278293771,0.205240477,
Hybrid,-2.217301598,-1.830376965,-5.225713383,-5.445208507,-1.761599643,-1.805035013,-5.892102335,-7.521550183,,-0.295704253,-0.256628512,-0.280473187,-0.284009056,-0.20642817,-0.18833796,-0.263621882,-0.312349455,
,,,,,,,,,,,,,,,,,,
in general changes go in the same directions for all sample types,,,,,,,,,,From this table it is evident that the changes are not really on the same scale for every sample type. ,,,,,,,,
YI-no is an exception though in terms of G0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
S contained more structures in EXP02,,,,,,,,,,,,,,,,,,
M contained less structures in EXP02 (not sure if it is not just an integration issue),,,,,,,,,,,,,,,,,,
